Code;Sign
217296;4
217300;2
217301;2
217309;3
217321;4
217328;4
217330;4
217366;2
217385;2
217386;2
217387;2
217388;2
218220;4
218222;4
218224;2
218225;4
218241;4
218243;4
218244;4
218247;4
218248;4
218249;4
218250;4
219221;4
219222;4
219224;2
219240;4
219241;4
219242;4
219243;4
219244;4
219247;4
219248;4
219249;4
219250;4
219251;4
220218;2
220221;2
220223;4
220224;4
220240;2
220250;2
220251;2
221219;2
221220;2
221223;4
221224;4
221240;2
221242;3
221244;2
221245;2
221247;2
221250;2
221251;2
222218;4
222224;2
222225;4
222240;4
222241;4
222243;4
222244;4
222245;4
222247;4
222248;4
222249;4
222251;4
223221;4
223224;4
223241;4
223243;4
223244;4
223249;4
223250;4
223251;4
224218;2
224220;2
224221;2
224222;2
224223;4
224240;2
224241;3
224243;2
224244;2
224245;2
224249;2
224250;2
224251;2
225219;4
225220;4
225221;4
225222;4
225243;4
225245;4
225250;4
225251;4
226232;4
226302;4
226309;2
226312;2
226315;2
226337;2
226349;2
227227;4
227229;4
227233;4
227253;4
227284;4
227303;4
227308;2
227313;2
227350;2
227358;2
228161;2
228234;4
228252;4
228308;2
228310;2
228311;2
228312;2
228313;2
228316;2
228320;2
228351;2
228353;2
229160;2
229161;2
229253;4
229308;2
229309;2
229310;2
229311;2
229312;2
229313;2
229315;2
229322;2
229356;4
230171;3
230228;4
230230;4
230256;4
230302;4
230308;2
230313;2
230322;2
230351;2
230359;2
231229;4
231237;4
231253;4
231257;4
231303;4
231309;2
231312;2
231352;2
232152;4
232157;2
232226;2
232232;4
232254;4
232290;2
232299;3
232302;4
232314;2
232315;2
232316;2
232317;2
232322;4
232349;4
233186;4
233227;2
233255;4
233292;4
233293;4
233302;4
233303;4
233314;2
233315;2
233316;2
233317;2
233350;4
234103;2
234160;3
234228;2
234254;4
234256;4
234292;4
234299;3
234310;3
234311;3
234316;2
234317;2
234351;4
234355;3
235104;2
235161;3
235229;2
235253;3
235255;4
235257;4
235299;3
235310;3
235315;2
235317;2
235321;4
235350;4
235352;4
235354;2
235356;3
236180;4
236213;2
236230;2
236234;4
236256;4
236288;3
236299;3
236302;4
236315;2
236316;2
236317;2
236351;4
237108;4
237154;2
237231;2
237257;4
237289;3
237299;3
237303;4
237314;2
237315;2
237316;2
237317;2
237334;4
237352;4
237356;3
238154;2
238155;2
238158;2
238159;2
238167;2
238168;2
238264;4
238278;2
238286;4
239154;2
239155;2
239158;2
239159;2
239168;2
239259;4
239272;4
239274;2
239278;2
239284;4
239286;4
239287;4
240220;4
240221;4
240222;4
240223;4
240224;2
240249;4
240250;4
241222;4
241223;4
241224;2
241243;4
241244;4
242223;4
242224;2
242243;4
242244;4
242251;4
243250;2
244245;2
245223;4
245224;2
245241;4
245243;4
245245;4
245247;4
249218;2
249222;2
249223;4
249240;2
249241;3
249242;3
249243;2
249247;2
249250;2
249251;2
250223;4
250243;4
250244;4
250245;4
250251;4
251220;4
251221;4
251223;4
251225;4
251244;4
252161;2
252185;4
252187;4
252230;4
252252;4
252290;2
252308;2
252310;2
252312;2
252315;2
