Edgecode;Motif
241324;B110
241331;E028
241332;B117
241333;B122
241334;B129
241341;E033
241342;B138
241343;B147
241344;B156
241411;J017
241412;C039
241413;C066
241414;C075
241421;E025
241422;B165
241423;B174
241424;B183
241431;E037
241432;B192
241433;B201
241434;B210
241441;E042
241442;B219
241443;B228
241444;B237
242111;I011
242112;G013
242113;G021
242114;G022
242121;C019
242122;B071
242123;B074
242124;B077
242131;C044
242132;B072
242133;B075
242134;B078
242141;C045
242142;B073
242143;B076
242144;B079
242211;H013
242212;B043
242213;B108
242214;B181
242221;B035
242222;A017
242223;A020
242224;A026
242231;B100
242232;A032
242233;A036
242234;A040
242241;B169
242242;A044
242243;A045
242244;A046
242311;H021
242312;B044
242313;B109
242314;B182
242321;B054
242322;A025
242323;A050
242324;A055
242331;B119
242332;A062
242333;A065
242334;A070
242341;B196
242342;A077
242343;A083
242344;A089
242411;H022
242412;B045
242413;B110
242414;B183
242421;B077
242422;A026
242423;A055
242424;A096
242431;B142
242432;A080
242433;A097
242434;A098
242441;B223
242442;A099
242443;A100
242444;A101
243111;I016
243112;G014
243113;G030
243114;G036
243121;C024
243122;B136
243123;B139
243124;B142
243131;C052
243132;B137
243133;B140
243134;B143
243141;C070
243142;B138
243143;B141
243144;B144
243211;H018
243212;B046
243213;B111
243214;B184
243221;B040
243222;A022
243223;A056
243224;A080
243231;B105
243232;A052
243233;A078
243234;A081
243241;B178
243242;A077
243243;A079
243244;A082
243311;H023
243312;B047
243313;B112
243314;B185
243321;B059
243322;A027
243323;A057
243324;A097
243331;B124
243332;A067
243333;A102
243334;A103
243341;B205
243342;A104
243343;A105
243344;A106
243411;H024
243412;B048
243413;B113
243414;B186
243421;B086
243422;A028
243423;A058
243424;A098
243431;B151
243432;A086
243433;A107
243434;A108
243441;B232
243442;A109
243443;A110
243444;A111
244111;I025
244112;G015
244113;G031
244114;G042
244121;C033
244122;B217
244123;B220
244124;B223
244131;C061
244132;B218
244133;B221
244134;B224
244141;C079
244142;B219
244143;B222
244144;B225
244211;H025
244212;B049
244213;B114
244214;B187
244221;B049
244222;A029
244223;A059
244224;A099
244231;B114
244232;A059
244233;A112
244234;A113
244241;B187
244242;A099
244243;A113
244244;A114
244311;H026
244312;B050
244313;B115
244314;B188
244321;B068
244322;A030
244323;A060
244324;A100
244331;B133
244332;A074
244333;A115
